area,subtopic
AMBIENTE_MOVILIDAD,ABONO_TRANSPORTE
OBRAS_EQUIPAMIENTO,ACERAS_CALZADAS_PLAZAS
FAMILIAS_IGUALDAD_BIENESTAR,ADOLESCENTES
NO_COMPETE,AEROPUERTO
AMBIENTE_MOVILIDAD,AGUA
FAMILIAS_IGUALDAD_BIENESTAR,ALBERGUES
PORTAVOZ_SEGURIDAD_EMERGENCIAS,ALIMENTACION
AMBIENTE_MOVILIDAD,ALUMBRADO_EN_ZONAS_VERDES
PORTAVOZ_SEGURIDAD_EMERGENCIAS,ANIMALES_ABANDONADOS_Y_COLONIAS_DE_ANIMALES
AMBIENTE_MOVILIDAD,ANIMALES_PERROS_GATOS_AVES
OBRAS_EQUIPAMIENTO,APARCAMIENTOS
VICEALCALDIA,APP_MOVIL
FAMILIAS_IGUALDAD_BIENESTAR,ASISTENCIA
VICEALCALDIA,ASOCIACIONES
AMBIENTE_MOVILIDAD,ATASCOS_Y_CONTAMINACION
OBRAS_EQUIPAMIENTO,BARRERAS_ARQUITECTONICAS
CULTURA_TURISMO_DEPORTE,BIBLIOTECAS
AMBIENTE_MOVILIDAD,BICIMAD
FAMILIAS_IGUALDAD_BIENESTAR,BIENESTAR
PORTAVOZ_SEGURIDAD_EMERGENCIAS,BOTELLON
NO_COMPETE,CARRETERAS
AMBIENTE_MOVILIDAD,CARRIL_BICI
FAMILIAS_IGUALDAD_BIENESTAR,CENTROS_DE_SERVICIOS_SOCIALES
PORTAVOZ_SEGURIDAD_EMERGENCIAS,CIVISMO
FAMILIAS_IGUALDAD_BIENESTAR,COLECTIVOS_VULNERABLES
ECONOMICA_INNOVACION_EMPLEO,CONSUMO
PORTAVOZ_SEGURIDAD_EMERGENCIAS,COVID
CULTURA_TURISMO_DEPORTE,CULTURA_Y_CENTROS_CULTURALES
VICEALCALDIA,DECIDE_MADRID
PORTAVOZ_SEGURIDAD_EMERGENCIAS,DENUNCIAS_Y_MULTAS
CULTURA_TURISMO_DEPORTE,DEPORTES_E_INSTALACIONES_DEPORTIVAS
FAMILIAS_IGUALDAD_BIENESTAR,DERECHOS
FAMILIAS_IGUALDAD_BIENESTAR,DERECHOS_HUMANOS
PORTAVOZ_SEGURIDAD_EMERGENCIAS,DESFIBRILADOR
VICEALCALDIA,DIGITALIZACION_Y_TRANSFORMACION_DIGITAL
FAMILIAS_IGUALDAD_BIENESTAR,DIVERSIDAD_FUNCIONAL
ECONOMICA_INNOVACION_EMPLEO,ECONOMIA
OBRAS_EQUIPAMIENTO,EDIFICIOS
FAMILIAS_IGUALDAD_BIENESTAR,EDUCACION
FAMILIAS_IGUALDAD_BIENESTAR,EMBARAZADAS
PORTAVOZ_SEGURIDAD_EMERGENCIAS,EMERGENCIAS
HACIENDA_PERSONAL,EMPLEADOS_PUBLICOS_Y_OPOSICIONES
AMBIENTE_MOVILIDAD,EMT
NO_COMPETE,ENERGIA_Y_ELECTRICIDAD
FAMILIAS_IGUALDAD_BIENESTAR,FAMILIAS
FAMILIAS_IGUALDAD_BIENESTAR,FEMINISMO_Y_MACHISMO
PORTAVOZ_SEGURIDAD_EMERGENCIAS,FUMADORES
VICEALCALDIA,GESTION_ADMINISTRATIVA
HACIENDA_PERSONAL,HACIENDA
FAMILIAS_IGUALDAD_BIENESTAR,IGUALDAD
OBRAS_EQUIPAMIENTO,ILUMINACION
HACIENDA_PERSONAL,IMPUESTOS
FAMILIAS_IGUALDAD_BIENESTAR,INCLUSION
FAMILIAS_IGUALDAD_BIENESTAR,INFANCIA
VICEALCALDIA,INNOVACION
VICEALCALDIA,INSTITUCION_PUBLICA
NO_COMPETE,JUSTICIA
FAMILIAS_IGUALDAD_BIENESTAR,JUVENTUD
DESARROLLOURBANO,LICENCIAS_DE_ACTIVIDAD_Y_DE_OBRAS
AMBIENTE_MOVILIDAD,LIMPIEZA
PORTAVOZ_SEGURIDAD_EMERGENCIAS,LUDOPATIA
FAMILIAS_IGUALDAD_BIENESTAR,LUDOTECA
AMBIENTE_MOVILIDAD,MADRID_SMART_CITY
FAMILIAS_IGUALDAD_BIENESTAR,MAYORES
AMBIENTE_MOVILIDAD,MEDIO_AMBIENTE
CULTURA_TURISMO_DEPORTE,MEMORIA_HISTORICA
ECONOMICA_INNOVACION_EMPLEO,MERCADILLOS_Y_VENTA_AMBULANTE
